,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hun,0,LY,1666665108,59,29.1268,15.9477,62.13,1.7
1,lebu,100,CL,1666665108,93,-37.6167,-73.65,50.68,2.17
2,grand gaube,25,US,1666665108,43,38.8755,-109.5012,40.19,4.65
3,jamestown,0,US,1666665094,84,42.097,-79.2353,62.24,3.44
4,qaanaaq,99,GL,1666665109,71,77.484,-69.3632,16.05,8.19
5,cape town,100,CL,1666665110,86,-36.413,-71.9028,54.82,6.08
6,kapaa,0,US,1666665110,77,22.0752,-159.319,84.18,13.8
7,san patricio,4,ML,1666665110,24,13.3034,-4.8956,81.45,6.6
8,carnarvon,0,AU,1666665110,47,-24.8667,113.6333,69.87,21.03
9,galveston,100,US,1666665111,83,29.3669,-94.9669,79.05,14.97
10,avarua,75,CK,1666665033,73,-21.2078,-159.775,75.25,10.36
11,hambantota,20,LK,1666665111,89,6.1241,81.1185,80.94,3.44
12,ushuaia,40,AR,1666664591,87,-54.8,-68.3,37.06,24.16
13,atuona,2,PF,1666665112,75,-9.8,-139.0333,76.66,16.84
14,bredasdorp,100,ZA,1666665112,76,-34.5322,20.0403,60.73,8.19
15,tukrah,0,LY,1666665112,84,32.5341,20.5791,70.0,8.3
16,chokurdakh,100,RU,1666665113,87,70.6333,147.9167,3.85,4.83
17,mataura,0,NZ,1666665019,29,-46.1927,168.8643,57.47,0.94
18,khvorostyanka,88,RU,1666665113,77,52.6096,48.9597,37.29,13.15
19,hermanus,100,ZA,1666665113,70,-34.4187,19.2345,61.81,10.09
20,pevek,40,RU,1666665114,96,69.7008,170.3133,3.07,7.78
21,lazaro cardenas,100,DO,1666665114,93,19.4558,-71.3261,70.02,1.5
22,lagoa,61,PT,1666665114,74,39.05,-27.9833,64.54,30.6
23,hamilton,100,US,1666665008,50,39.1834,-84.5333,67.98,8.05
24,rikitea,0,PF,1666664592,79,-23.1203,-134.9692,73.69,15.43
25,butaritari,12,KI,1666665115,74,3.0707,172.7902,81.59,11.39
26,busselton,55,AU,1666665115,50,-33.65,115.3333,65.37,10.83
27,iqaluit,100,CA,1666665115,68,63.7506,-68.5145,20.93,12.66
28,bluff,0,NZ,1666665116,62,-46.6,168.3333,57.79,13.78
29,meulaboh,81,ID,1666665116,73,4.1363,96.1285,83.32,6.64
30,kodiak,0,US,1666665117,53,57.79,-152.4072,45.91,18.41
31,samfya,100,ZM,1666665117,44,-11.3649,29.5565,74.61,2.98
32,itoman,20,JP,1666665117,52,26.1247,127.6694,77.02,17.27
33,victoria,97,HK,1666664845,56,22.2855,114.1577,79.25,11.99
34,laguna,0,US,1666665118,32,38.421,-121.4238,68.29,3.44
35,chapais,60,CA,1666665118,79,49.7834,-74.8492,47.98,7.31
36,kilindoni,9,TZ,1666665119,80,-7.9139,39.6668,76.37,8.79
37,faya,0,SA,1666665119,67,18.3851,42.4509,59.11,1.99
38,union,100,US,1666665119,97,40.6334,-74.2663,62.51,5.75
39,otane,100,NZ,1666665120,63,-39.8833,176.6333,53.01,5.32
40,neuquen,0,AR,1666665120,34,-38.9516,-68.0591,66.09,0.0
41,esperance,100,AU,1666665120,82,-33.8667,121.9,60.33,8.57
42,urumqi,75,CN,1666664857,75,43.801,87.6005,38.35,2.24
43,poopo,1,BO,1666665121,54,-18.3667,-66.9667,49.08,5.59
44,paysandu,37,UY,1666665121,88,-32.3214,-58.0756,64.87,8.37
45,saskylakh,100,RU,1666665122,94,71.9167,114.0833,12.2,9.33
46,lotofaga,95,WS,1666665122,81,-13.9764,-171.8578,82.18,15.05
47,evensk,100,RU,1666665122,91,61.95,159.2333,19.89,5.86
48,noumea,94,NC,1666665123,75,-22.2763,166.4572,85.98,12.82
49,upernavik,100,GL,1666665123,96,72.7868,-56.1549,28.56,7.87
50,tyukhtet,37,RU,1666665123,64,56.5389,89.3011,32.74,14.18
51,hithadhoo,13,MV,1666665124,74,-0.6,73.0833,81.97,6.4
52,vaini,20,TO,1666665124,57,-21.2,-175.2,77.16,12.66
53,korem,2,ET,1666665124,70,12.5058,39.5228,51.49,2.73
54,broome,100,US,1666665125,91,42.2506,-75.833,60.19,8.05
55,san francisco del mar,4,ML,1666665110,24,13.3034,-4.8956,81.45,6.6
56,balikpapan,20,ID,1666665125,70,-1.2675,116.8289,85.19,9.22
57,albany,100,US,1666664458,94,42.6001,-73.9662,57.63,0.58
58,airai,100,TL,1666665125,45,-8.9266,125.4092,77.59,1.63
59,lata,100,PT,1666665126,81,40.1629,-8.3327,62.08,5.77
60,cidreira,55,BR,1666665127,71,-30.1811,-50.2056,64.15,10.74
61,cayenne,0,GF,1666665006,83,4.9333,-52.3333,82.44,3.44
62,tabas,72,IR,1666665127,26,33.5959,56.9244,66.42,4.61
63,qiongshan,40,CN,1666665127,69,20.0058,110.3542,80.58,20.13
64,college,75,US,1666665128,88,64.8569,-147.8028,26.2,3.44
65,eyl,47,SO,1666665128,83,7.9803,49.8164,78.13,2.86
66,provideniya,18,RU,1666665028,63,64.3833,-173.3,24.91,2.24
67,port alfred,100,CD,1666665129,48,-7.0349,29.7638,77.76,3.76
68,alta floresta,98,NO,1666665129,86,69.9689,23.2717,27.66,5.75
69,cherskiy,45,RU,1666665129,86,68.75,161.3,4.08,9.95
70,dikson,100,RU,1666665130,74,73.5069,80.5464,27.18,18.92
71,punta arenas,100,PH,1666665130,90,8.9897,125.34,79.18,8.01
72,vao,94,NC,1666665130,76,-22.6667,167.4833,72.7,21.27
73,garowe,65,SO,1666665131,77,8.4054,48.4845,74.89,7.31
74,ancud,88,CL,1666665131,94,-41.8697,-73.8203,49.93,5.14
75,esmeraldas,1,BR,1666665131,86,-19.7625,-44.3139,67.06,3.65
76,narsaq,77,GL,1666665132,82,60.9167,-46.05,22.51,6.24
77,isabela,89,PH,1666665070,74,6.7085,121.9711,84.25,6.46
78,saint-pierre,0,RE,1666665132,64,-21.3393,55.4781,70.92,4.61
79,hofn,100,IS,1666665133,80,64.2539,-15.2082,41.65,13.76
80,mount gambier,59,GB,1666665133,91,53.6597,-1.8537,52.05,12.3
81,kawalu,100,ID,1666665133,75,-7.3817,108.2082,81.0,3.58
82,ngunguru,100,NZ,1666665134,81,-35.6167,174.5,59.92,13.96
83,golden,20,US,1666665134,33,39.7555,-105.2211,42.19,18.41
84,kuminskiy,100,RU,1666665135,96,58.6667,66.5667,35.73,13.09
85,vanavara,100,RU,1666665135,87,60.34,102.2797,30.07,14.7
86,isangel,24,VU,1666665135,70,-19.55,169.2667,78.73,10.4
87,port lincoln,100,CD,1666665129,48,-7.0349,29.7638,77.76,3.76
88,luderitz,100,NA,1666665136,76,-26.6481,15.1594,60.58,15.12
89,boguchar,49,RU,1666665136,76,49.9358,40.545,42.31,5.12
90,jacareacanga,100,BR,1666665136,99,-6.2222,-57.7528,73.53,1.72
91,vestmannaeyjar,100,IS,1666665137,87,63.4427,-20.2734,43.05,11.61
92,liberty,0,US,1666665137,44,31.8335,-81.5004,62.28,0.0
93,khatanga,94,RU,1666664591,98,71.9667,102.5,-3.23,2.86
94,ambon,40,ID,1666665138,70,-3.6954,128.1814,89.74,6.91
95,maningrida,83,AU,1666665138,56,-12.0667,134.2667,92.43,12.55
96,tuatapere,0,NZ,1666665138,42,-46.1333,167.6833,60.15,6.17
97,tuktoyaktuk,75,CA,1666665139,85,69.4541,-133.0374,14.0,0.0
98,beringovskiy,100,RU,1666665139,82,63.05,179.3167,30.11,7.31
99,hobart,100,AU,1666665139,96,-42.8794,147.3294,60.66,6.91
100,cabo san lucas,47,BR,1666665008,84,-8.2833,-35.0333,80.53,7.99
101,loandjili,20,CG,1666665140,94,-4.7561,11.8578,73.51,3.44
102,barrow,100,US,1666664981,93,71.2906,-156.7887,19.42,24.16
103,grand river south east,25,US,1666665140,43,38.8755,-109.5012,40.19,4.65
104,carroll,100,US,1666665020,90,39.5501,-77.0164,59.32,1.01
105,ilulissat,100,GL,1666665141,97,69.2167,-51.1,26.67,4.47
